epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,823.513,0.93985,0.47704,0.90799,0.86539,0.7849,0.84571,0.44994,1.59744,0.73453,1.2229,0.0005083,0.0005083,0.0005083
151,828.781,0.93938,0.47951,0.911,0.86062,0.78807,0.84707,0.45998,1.55032,0.68832,1.20776,0.000505,0.000505,0.000505
152,834.019,0.91974,0.46858,0.90279,0.86294,0.76795,0.84321,0.45843,1.57873,0.69731,1.22254,0.0005017,0.0005017,0.0005017
153,839.05,0.91489,0.46616,0.90182,0.83177,0.80657,0.84429,0.46018,1.57858,0.70427,1.22351,0.0004984,0.0004984,0.0004984
154,844.006,0.92535,0.46549,0.90435,0.83749,0.81885,0.84052,0.45276,1.60867,0.70912,1.23868,0.0004951,0.0004951,0.0004951
155,848.942,0.91543,0.4689,0.9063,0.85197,0.80609,0.85923,0.45584,1.60501,0.71147,1.20828,0.0004918,0.0004918,0.0004918
156,853.865,0.90091,0.45755,0.90529,0.86982,0.79539,0.84297,0.45719,1.59523,0.69197,1.24916,0.0004885,0.0004885,0.0004885
157,859.08,0.90412,0.45351,0.90182,0.84495,0.81052,0.84727,0.4639,1.57096,0.70304,1.23128,0.0004852,0.0004852,0.0004852
158,864.068,0.9119,0.46349,0.90119,0.86896,0.81323,0.85952,0.45713,1.59598,0.70775,1.26271,0.0004819,0.0004819,0.0004819
159,869.373,0.92742,0.47392,0.90407,0.85264,0.7978,0.85821,0.47095,1.55314,0.69565,1.20753,0.0004786,0.0004786,0.0004786
160,874.677,0.91281,0.46286,0.89884,0.82417,0.81316,0.85106,0.46519,1.57309,0.67653,1.24279,0.0004753,0.0004753,0.0004753
161,879.596,0.91317,0.46595,0.90572,0.86539,0.78333,0.8535,0.46316,1.5818,0.70315,1.22513,0.000472,0.000472,0.000472
162,884.535,0.89109,0.45506,0.89553,0.87125,0.78508,0.84108,0.45683,1.57762,0.70421,1.2327,0.0004687,0.0004687,0.0004687
163,889.473,0.90525,0.46461,0.89708,0.86401,0.81116,0.85332,0.45232,1.58708,0.70646,1.22699,0.0004654,0.0004654,0.0004654
164,894.385,0.88275,0.45324,0.88969,0.84074,0.81102,0.85691,0.46164,1.5543,0.71689,1.19331,0.0004621,0.0004621,0.0004621
165,899.314,0.89544,0.4625,0.8995,0.82163,0.81648,0.84332,0.46174,1.60053,0.67328,1.2472,0.0004588,0.0004588,0.0004588
166,904.269,0.88321,0.45527,0.89293,0.84465,0.80598,0.84642,0.45662,1.5757,0.70722,1.2407,0.0004555,0.0004555,0.0004555
167,909.423,0.88495,0.45556,0.8944,0.81581,0.82697,0.8542,0.45129,1.59192,0.69489,1.25951,0.0004522,0.0004522,0.0004522
168,914.636,0.88153,0.45694,0.9001,0.83889,0.79291,0.83536,0.44653,1.57724,0.71968,1.21855,0.0004489,0.0004489,0.0004489
169,919.882,0.90687,0.4669,0.9023,0.83364,0.80988,0.8452,0.46635,1.56799,0.69774,1.22108,0.0004456,0.0004456,0.0004456
170,924.81,0.9072,0.46165,0.89681,0.84677,0.80388,0.85622,0.4594,1.57521,0.70028,1.24025,0.0004423,0.0004423,0.0004423
171,930.017,0.89798,0.45274,0.89305,0.8355,0.80314,0.8521,0.45952,1.56958,0.71147,1.2414,0.000439,0.000439,0.000439
172,934.961,0.87812,0.44521,0.88977,0.85416,0.78688,0.85809,0.45822,1.56252,0.71495,1.22383,0.0004357,0.0004357,0.0004357
173,939.906,0.88153,0.45197,0.89449,0.82756,0.80432,0.83425,0.44221,1.59495,0.7482,1.24744,0.0004324,0.0004324,0.0004324
174,945.122,0.8757,0.451,0.89038,0.83812,0.80025,0.84622,0.4604,1.57264,0.67226,1.24861,0.0004291,0.0004291,0.0004291
175,950.001,0.85511,0.44217,0.88971,0.85733,0.80256,0.85166,0.45874,1.57155,0.68478,1.23966,0.0004258,0.0004258,0.0004258
176,955.156,0.87497,0.44808,0.89273,0.8765,0.79437,0.85346,0.45401,1.58241,0.70394,1.22622,0.0004225,0.0004225,0.0004225
177,960.469,0.85596,0.44128,0.89145,0.87391,0.80229,0.86163,0.45569,1.59048,0.70093,1.23258,0.0004192,0.0004192,0.0004192
178,965.401,0.89296,0.45305,0.90125,0.86596,0.80687,0.86052,0.45804,1.58951,0.68542,1.22923,0.0004159,0.0004159,0.0004159
179,970.316,0.86933,0.44444,0.88984,0.86951,0.80556,0.86266,0.46693,1.56857,0.68596,1.21095,0.0004126,0.0004126,0.0004126
180,975.53,0.86877,0.44248,0.88712,0.86044,0.7999,0.84722,0.46537,1.57323,0.69719,1.21124,0.0004093,0.0004093,0.0004093
181,980.412,0.85406,0.43431,0.89328,0.87714,0.79204,0.85612,0.47632,1.55174,0.66246,1.21255,0.000406,0.000406,0.000406
182,985.364,0.85415,0.43494,0.88807,0.86251,0.80182,0.85405,0.46556,1.54376,0.67563,1.2118,0.0004027,0.0004027,0.0004027
183,990.626,0.8518,0.43958,0.88788,0.87622,0.80281,0.86306,0.46687,1.55077,0.69292,1.21042,0.0003994,0.0003994,0.0003994
184,995.791,0.86184,0.44161,0.88264,0.86245,0.79507,0.85289,0.47239,1.53272,0.68741,1.19933,0.0003961,0.0003961,0.0003961
185,1000.73,0.84182,0.43147,0.88597,0.87784,0.81626,0.86663,0.46872,1.51812,0.68843,1.19891,0.0003928,0.0003928,0.0003928
186,1005.9,0.87502,0.44782,0.89177,0.8481,0.813,0.86743,0.46915,1.52676,0.71334,1.20727,0.0003895,0.0003895,0.0003895
187,1010.84,0.84402,0.43286,0.88759,0.8443,0.81901,0.85556,0.44829,1.6178,0.71078,1.26628,0.0003862,0.0003862,0.0003862
188,1016.04,0.84925,0.43811,0.88229,0.85688,0.79875,0.8493,0.44788,1.58864,0.70442,1.23285,0.0003829,0.0003829,0.0003829
189,1021.28,0.854,0.43961,0.88648,0.86639,0.79192,0.85488,0.45664,1.57419,0.69532,1.2471,0.0003796,0.0003796,0.0003796
190,1026.47,0.85778,0.43785,0.88381,0.87598,0.79471,0.84927,0.45382,1.58912,0.69023,1.2821,0.0003763,0.0003763,0.0003763
191,1031.38,0.84126,0.42954,0.88284,0.84965,0.82113,0.85979,0.46142,1.57349,0.67681,1.26834,0.000373,0.000373,0.000373
192,1036.57,0.82998,0.42376,0.87895,0.82715,0.81947,0.85126,0.45982,1.58088,0.69411,1.27176,0.0003697,0.0003697,0.0003697
193,1041.51,0.84878,0.43106,0.88257,0.85681,0.8109,0.85366,0.46847,1.56858,0.66976,1.2665,0.0003664,0.0003664,0.0003664
194,1046.76,0.84094,0.43249,0.88099,0.85741,0.80378,0.85424,0.46221,1.5841,0.68217,1.26477,0.0003631,0.0003631,0.0003631
195,1070.05,0.86011,0.43883,0.88633,0.8486,0.80423,0.84458,0.45695,1.61767,0.69718,1.28625,0.0003598,0.0003598,0.0003598
196,1075.5,0.82071,0.42057,0.88038,0.88048,0.7848,0.847,0.46425,1.58674,0.69841,1.24304,0.0003565,0.0003565,0.0003565
197,1080.77,0.82998,0.42471,0.87624,0.87265,0.79602,0.85377,0.46794,1.56032,0.68944,1.22819,0.0003532,0.0003532,0.0003532
198,1085.99,0.81049,0.42327,0.87948,0.87342,0.80225,0.85492,0.46073,1.57589,0.71621,1.24353,0.0003499,0.0003499,0.0003499
199,1090.92,0.80433,0.41631,0.87459,0.84581,0.79471,0.84287,0.45574,1.58311,0.73174,1.24406,0.0003466,0.0003466,0.0003466
200,1095.88,0.83389,0.43069,0.88117,0.84282,0.79329,0.83893,0.45334,1.57194,0.70247,1.24181,0.0003433,0.0003433,0.0003433
201,1100.74,0.80736,0.42039,0.87902,0.85335,0.79312,0.84235,0.45768,1.57976,0.69355,1.24625,0.00034,0.00034,0.00034
202,1105.69,0.82136,0.42389,0.87209,0.84659,0.81437,0.84002,0.45408,1.59954,0.71949,1.25309,0.0003367,0.0003367,0.0003367
203,1110.91,0.79804,0.41476,0.87352,0.84892,0.81443,0.85106,0.44856,1.59376,0.7244,1.23992,0.0003334,0.0003334,0.0003334
204,1116.16,0.80661,0.41934,0.87733,0.84669,0.81386,0.84018,0.45185,1.58853,0.71225,1.24336,0.0003301,0.0003301,0.0003301
205,1121.16,0.82802,0.42834,0.88133,0.85005,0.79329,0.84332,0.44987,1.60141,0.71799,1.26249,0.0003268,0.0003268,0.0003268
206,1126.1,0.81332,0.42031,0.87634,0.85347,0.79992,0.84529,0.45912,1.59856,0.71605,1.27049,0.0003235,0.0003235,0.0003235
207,1131.27,0.8013,0.41485,0.86975,0.83903,0.80879,0.83645,0.44811,1.62105,0.69433,1.2917,0.0003202,0.0003202,0.0003202
208,1136.2,0.83534,0.43073,0.88304,0.84938,0.80661,0.83679,0.44918,1.60137,0.70037,1.29248,0.0003169,0.0003169,0.0003169
209,1141.15,0.80639,0.41559,0.87544,0.84733,0.80779,0.84709,0.45004,1.57977,0.70035,1.26035,0.0003136,0.0003136,0.0003136
210,1146.39,0.82282,0.42205,0.87419,0.85724,0.80332,0.85013,0.45816,1.55824,0.69444,1.22469,0.0003103,0.0003103,0.0003103
211,1151.26,0.80935,0.41787,0.87065,0.8518,0.79329,0.8406,0.46357,1.55019,0.67759,1.21915,0.000307,0.000307,0.000307
212,1156.43,0.78822,0.41081,0.86777,0.86929,0.80309,0.84853,0.45372,1.58733,0.70513,1.24416,0.0003037,0.0003037,0.0003037
213,1161.31,0.80741,0.41657,0.87643,0.87327,0.80826,0.84945,0.46505,1.58373,0.67259,1.26309,0.0003004,0.0003004,0.0003004
214,1166.49,0.82459,0.42456,0.88096,0.86747,0.80263,0.84429,0.46263,1.57103,0.68,1.23931,0.0002971,0.0002971,0.0002971
215,1171.75,0.80478,0.41187,0.87239,0.83394,0.81374,0.8393,0.46535,1.58314,0.69326,1.25996,0.0002938,0.0002938,0.0002938
216,1176.93,0.79321,0.40553,0.86895,0.86174,0.79707,0.84362,0.46737,1.57815,0.70592,1.26369,0.0002905,0.0002905,0.0002905
217,1182.13,0.80089,0.41449,0.87033,0.83906,0.80315,0.84302,0.46716,1.59133,0.70478,1.26826,0.0002872,0.0002872,0.0002872
218,1187.05,0.81515,0.41707,0.87228,0.83693,0.80043,0.84481,0.45985,1.6095,0.69904,1.28428,0.0002839,0.0002839,0.0002839
219,1192.24,0.79777,0.41119,0.87197,0.86721,0.79201,0.84709,0.45967,1.58806,0.67922,1.27578,0.0002806,0.0002806,0.0002806
220,1197.5,0.7839,0.40816,0.86587,0.85039,0.80724,0.85568,0.46183,1.56387,0.67242,1.25858,0.0002773,0.0002773,0.0002773
221,1202.71,0.78547,0.41295,0.86714,0.85941,0.81772,0.86238,0.46996,1.56376,0.67235,1.25099,0.000274,0.000274,0.000274
222,1207.61,0.77801,0.40774,0.86996,0.86079,0.81444,0.85528,0.47198,1.56407,0.65925,1.24555,0.0002707,0.0002707,0.0002707
223,1212.78,0.80435,0.41853,0.87486,0.87205,0.81301,0.86456,0.47637,1.54952,0.67446,1.22849,0.0002674,0.0002674,0.0002674
224,1218.01,0.78589,0.41192,0.86703,0.86281,0.80441,0.85401,0.46378,1.57797,0.70775,1.23757,0.0002641,0.0002641,0.0002641
225,1223.29,0.8119,0.42011,0.87288,0.85227,0.8038,0.84534,0.45927,1.56684,0.7089,1.24651,0.0002608,0.0002608,0.0002608
226,1240.06,0.76383,0.40492,0.86182,0.85482,0.80095,0.84039,0.45652,1.55916,0.70555,1.25904,0.0002575,0.0002575,0.0002575
227,1248.14,0.79604,0.41318,0.86825,0.85442,0.80354,0.84057,0.4588,1.56816,0.70374,1.25873,0.0002542,0.0002542,0.0002542
228,1253.56,0.76816,0.40375,0.86559,0.85481,0.79556,0.84228,0.45295,1.59191,0.69878,1.26995,0.0002509,0.0002509,0.0002509
229,1258.72,0.77505,0.40153,0.86945,0.84991,0.79639,0.84725,0.46225,1.58406,0.68692,1.27808,0.0002476,0.0002476,0.0002476
230,1263.89,0.78653,0.4091,0.86176,0.85105,0.81935,0.85438,0.46283,1.56904,0.67975,1.25954,0.0002443,0.0002443,0.0002443
231,1268.79,0.76391,0.40103,0.86681,0.86079,0.80145,0.84974,0.46216,1.57309,0.67502,1.26696,0.000241,0.000241,0.000241
232,1273.67,0.767,0.4052,0.86349,0.86874,0.80786,0.84834,0.4597,1.59651,0.68539,1.28591,0.0002377,0.0002377,0.0002377
233,1278.82,0.76699,0.4055,0.86212,0.83935,0.78931,0.83337,0.44673,1.62416,0.72082,1.30478,0.0002344,0.0002344,0.0002344
234,1283.76,0.75812,0.3975,0.86596,0.85086,0.79329,0.83975,0.45178,1.60537,0.70871,1.29248,0.0002311,0.0002311,0.0002311
235,1294.32,0.7705,0.4052,0.86612,0.84814,0.80071,0.84242,0.45612,1.60049,0.69772,1.30023,0.0002278,0.0002278,0.0002278
236,1299.41,0.76682,0.39664,0.8645,0.85902,0.8013,0.85291,0.4591,1.59072,0.69003,1.2794,0.0002245,0.0002245,0.0002245
237,1304.41,0.75698,0.39522,0.86557,0.85843,0.79328,0.8452,0.45877,1.5792,0.68745,1.27281,0.0002212,0.0002212,0.0002212
238,1309.3,0.71678,0.37758,0.86059,0.87703,0.78721,0.8495,0.4627,1.58346,0.67428,1.26879,0.0002179,0.0002179,0.0002179
239,1314.53,0.77607,0.40432,0.86088,0.86939,0.80472,0.85386,0.46939,1.57314,0.6703,1.26464,0.0002146,0.0002146,0.0002146
240,1319.46,0.75863,0.39545,0.86073,0.85386,0.80437,0.85303,0.46417,1.55259,0.66616,1.24733,0.0002113,0.0002113,0.0002113
241,1324.68,0.76258,0.40158,0.86451,0.88329,0.80518,0.8567,0.47108,1.55997,0.67082,1.24925,0.000208,0.000208,0.000208
242,1329.83,0.7544,0.39132,0.85891,0.8848,0.80588,0.86245,0.46954,1.56792,0.67291,1.26113,0.0002047,0.0002047,0.0002047
243,1334.93,0.74555,0.39053,0.85758,0.87473,0.81552,0.8593,0.4671,1.56862,0.67155,1.27207,0.0002014,0.0002014,0.0002014
244,1339.85,0.73808,0.39043,0.86015,0.88103,0.81269,0.86374,0.46381,1.59026,0.68902,1.27092,0.0001981,0.0001981,0.0001981
245,1345.03,0.75376,0.393,0.86216,0.86446,0.80748,0.85497,0.46279,1.58723,0.70003,1.25876,0.0001948,0.0001948,0.0001948
246,1350.96,0.76208,0.39677,0.86461,0.85637,0.78941,0.84295,0.46285,1.58944,0.68049,1.28038,0.0001915,0.0001915,0.0001915
247,1355.95,0.74238,0.38667,0.85509,0.84521,0.79083,0.844,0.45827,1.59822,0.70282,1.28915,0.0001882,0.0001882,0.0001882
248,1361.19,0.74537,0.39302,0.85985,0.865,0.79665,0.83429,0.44784,1.62119,0.6971,1.31977,0.0001849,0.0001849,0.0001849
249,1366.13,0.76995,0.39934,0.86262,0.85332,0.79199,0.82886,0.44676,1.61214,0.70568,1.29939,0.0001816,0.0001816,0.0001816
250,1371.27,0.7568,0.39536,0.86251,0.84812,0.8061,0.8334,0.44579,1.6056,0.68957,1.30154,0.0001783,0.0001783,0.0001783
251,1376.23,0.73938,0.38835,0.85803,0.84838,0.79377,0.82649,0.44949,1.60766,0.68915,1.30414,0.000175,0.000175,0.000175
252,1381.13,0.73741,0.38571,0.85443,0.86156,0.80346,0.84337,0.45715,1.58531,0.68349,1.29021,0.0001717,0.0001717,0.0001717
253,1386.02,0.74126,0.38909,0.85881,0.8693,0.79066,0.83926,0.4644,1.56538,0.67991,1.26991,0.0001684,0.0001684,0.0001684
254,1391.23,0.76779,0.40319,0.8586,0.86625,0.79875,0.84059,0.46426,1.57397,0.67391,1.2644,0.0001651,0.0001651,0.0001651
255,1396.4,0.75037,0.39647,0.85892,0.85146,0.80505,0.84336,0.46464,1.57248,0.68039,1.26437,0.0001618,0.0001618,0.0001618
256,1401.6,0.73158,0.38321,0.85485,0.85924,0.7999,0.84422,0.46774,1.57801,0.67686,1.26992,0.0001585,0.0001585,0.0001585
257,1406.81,0.71728,0.3761,0.85799,0.84544,0.78576,0.83821,0.46041,1.59067,0.69841,1.28488,0.0001552,0.0001552,0.0001552
258,1436.33,0.73416,0.38579,0.85544,0.86312,0.79382,0.8478,0.45923,1.58518,0.69158,1.28816,0.0001519,0.0001519,0.0001519
259,1450.12,0.72777,0.38054,0.85535,0.86299,0.79161,0.84079,0.45797,1.60452,0.68412,1.30124,0.0001486,0.0001486,0.0001486
260,1455.68,0.73311,0.38688,0.85767,0.86133,0.78716,0.84241,0.45827,1.61046,0.70335,1.29903,0.0001453,0.0001453,0.0001453
261,1460.62,0.71533,0.37642,0.85209,0.84563,0.78761,0.83771,0.45763,1.59193,0.70512,1.28252,0.000142,0.000142,0.000142
262,1465.55,0.72673,0.38073,0.85374,0.84724,0.79174,0.83947,0.46114,1.5883,0.69445,1.26833,0.0001387,0.0001387,0.0001387
263,1470.81,0.71942,0.37659,0.84878,0.8568,0.80535,0.8457,0.46093,1.57986,0.70432,1.26195,0.0001354,0.0001354,0.0001354
264,1476.06,0.72089,0.37889,0.85334,0.85564,0.80436,0.84357,0.46167,1.57688,0.71756,1.26315,0.0001321,0.0001321,0.0001321
265,1481.29,0.71483,0.37466,0.85102,0.85385,0.79875,0.84062,0.46042,1.57729,0.70705,1.27437,0.0001288,0.0001288,0.0001288
266,1486.49,0.72785,0.38164,0.85486,0.85973,0.8043,0.83904,0.45692,1.58622,0.69982,1.29138,0.0001255,0.0001255,0.0001255
267,1491.65,0.72238,0.38072,0.85303,0.85556,0.79822,0.84337,0.45767,1.61173,0.68721,1.32303,0.0001222,0.0001222,0.0001222
268,1496.89,0.73401,0.3884,0.85707,0.85013,0.79933,0.84148,0.45657,1.61962,0.68639,1.33626,0.0001189,0.0001189,0.0001189
269,1501.81,0.7181,0.37734,0.85551,0.86309,0.80601,0.84377,0.45695,1.61728,0.68632,1.33757,0.0001156,0.0001156,0.0001156
270,1507.02,0.71692,0.37644,0.85172,0.86025,0.80326,0.8438,0.45883,1.6117,0.68958,1.32479,0.0001123,0.0001123,0.0001123
271,1512.2,0.73484,0.38697,0.85412,0.86069,0.79382,0.843,0.45701,1.61218,0.68462,1.33389,0.000109,0.000109,0.000109
272,1517.34,0.70831,0.37238,0.8524,0.86846,0.79961,0.84655,0.45573,1.61885,0.68232,1.33463,0.0001057,0.0001057,0.0001057
273,1522.26,0.71133,0.37454,0.85075,0.86477,0.79941,0.84402,0.45191,1.62799,0.68382,1.34751,0.0001024,0.0001024,0.0001024
274,1527.58,0.73133,0.37985,0.85108,0.86593,0.79778,0.84363,0.4506,1.6271,0.6908,1.34478,9.91e-05,9.91e-05,9.91e-05
275,1532.86,0.71302,0.37477,0.85363,0.86456,0.79161,0.84383,0.45234,1.61752,0.67965,1.33696,9.58e-05,9.58e-05,9.58e-05
276,1538.08,0.69702,0.36897,0.85045,0.86491,0.7977,0.85282,0.45551,1.615,0.67997,1.33381,9.25e-05,9.25e-05,9.25e-05
277,1543.24,0.70079,0.3686,0.84946,0.86749,0.7977,0.84703,0.457,1.6146,0.68658,1.33797,8.92e-05,8.92e-05,8.92e-05
278,1548.52,0.71178,0.37613,0.8481,0.87155,0.80292,0.84696,0.45641,1.61533,0.68544,1.33839,8.59e-05,8.59e-05,8.59e-05
279,1553.74,0.69758,0.37152,0.85278,0.8699,0.80603,0.84765,0.45555,1.61798,0.68348,1.34162,8.26e-05,8.26e-05,8.26e-05
280,1558.96,0.71289,0.37284,0.85221,0.87976,0.81605,0.85512,0.4594,1.6211,0.6768,1.34102,7.93e-05,7.93e-05,7.93e-05
281,1564.17,0.69588,0.36912,0.84736,0.87511,0.80587,0.85029,0.46132,1.60977,0.67943,1.32781,7.6e-05,7.6e-05,7.6e-05
282,1569.3,0.70754,0.37046,0.84812,0.87166,0.80814,0.84656,0.45939,1.61236,0.68876,1.32412,7.27e-05,7.27e-05,7.27e-05
283,1574.53,0.69981,0.37277,0.85422,0.8773,0.79992,0.84356,0.45694,1.61596,0.69691,1.32967,6.94e-05,6.94e-05,6.94e-05
284,1579.75,0.6909,0.36249,0.84902,0.87443,0.79464,0.83989,0.4579,1.61382,0.69416,1.33006,6.61e-05,6.61e-05,6.61e-05
285,1584.98,0.69909,0.37187,0.85106,0.85892,0.8014,0.83705,0.45789,1.61667,0.68924,1.34318,6.28e-05,6.28e-05,6.28e-05
286,1590.3,0.71282,0.37731,0.85506,0.85515,0.79959,0.83761,0.45387,1.61826,0.68576,1.34084,5.95e-05,5.95e-05,5.95e-05
287,1595.46,0.69583,0.37146,0.85106,0.85622,0.79805,0.83752,0.45371,1.62402,0.68018,1.34499,5.62e-05,5.62e-05,5.62e-05
288,1600.37,0.68375,0.3628,0.84569,0.8721,0.8043,0.84209,0.45239,1.61969,0.68399,1.34162,5.29e-05,5.29e-05,5.29e-05
289,1605.98,0.69175,0.36891,0.84499,0.86956,0.80198,0.84291,0.45429,1.61736,0.68242,1.34504,4.96e-05,4.96e-05,4.96e-05
290,1611.5,0.69686,0.37155,0.84786,0.86771,0.80268,0.84636,0.45886,1.6179,0.68267,1.34418,4.63e-05,4.63e-05,4.63e-05
291,1634.76,0.75112,0.39789,0.84216,0.85506,0.79998,0.83707,0.45293,1.61726,0.67695,1.34191,4.3e-05,4.3e-05,4.3e-05
292,1639.81,0.69153,0.35375,0.83478,0.85961,0.80598,0.83493,0.44921,1.60862,0.67897,1.32772,3.97e-05,3.97e-05,3.97e-05
293,1645.25,0.67492,0.34535,0.82496,0.86696,0.80184,0.83718,0.45272,1.59748,0.68295,1.31887,3.64e-05,3.64e-05,3.64e-05
294,1654.44,0.66067,0.33874,0.82931,0.85047,0.79669,0.83524,0.45429,1.59406,0.69141,1.31747,3.31e-05,3.31e-05,3.31e-05
295,1660.05,0.65868,0.3367,0.82621,0.85054,0.79654,0.83351,0.45291,1.59147,0.69661,1.31828,2.98e-05,2.98e-05,2.98e-05
296,1665.48,0.65853,0.33308,0.82504,0.8612,0.79822,0.83394,0.45493,1.59678,0.69589,1.32545,2.65e-05,2.65e-05,2.65e-05
297,1670.43,0.65045,0.33159,0.82215,0.86232,0.79976,0.83411,0.4513,1.60144,0.69797,1.32784,2.32e-05,2.32e-05,2.32e-05
298,1675.37,0.64477,0.32593,0.82327,0.865,0.80546,0.83924,0.45627,1.59772,0.69484,1.3287,1.99e-05,1.99e-05,1.99e-05
299,1680.3,0.6338,0.32572,0.81855,0.8636,0.80326,0.84009,0.45456,1.59808,0.69732,1.32279,1.66e-05,1.66e-05,1.66e-05
300,1685.53,0.63649,0.32681,0.82096,0.86442,0.80372,0.8398,0.45414,1.60127,0.6969,1.32371,1.33e-05,1.33e-05,1.33e-05
